"Story","Title","Result","Date","Stability","Duration (s)"
"SwagLabs Login tests","Login with standard_user","SUCCESS","2023-02-23T12:54:26.0914677-08:00[America/Tijuana]","0.0","16.26"
"SwagLabs Login tests","Login with locked_out_user and verify locked out message","SUCCESS","2023-02-23T12:54:42.4759435-08:00[America/Tijuana]","0.0","7.97"
"SwagLabs Login tests","Cart Scenario","SUCCESS","2023-02-23T12:54:50.5789063-08:00[America/Tijuana]","0.0","10.39"
