"Story","Title","Result","Date","Stability","Duration (s)"
"SwagLabs Login tests","Login with standard_user","PENDING","2023-02-23T12:51:58.4523019-08:00[America/Tijuana]","0.0","12.69"
"SwagLabs Login tests","Cart Scenario","PENDING","2023-02-23T12:52:20.2660387-08:00[America/Tijuana]","0.0","10.4"
